,cluster,longitude,latitude,demand,working_time,availableDocks
0,1.0,118.7798845,32.02845916,-22.0,3.79800272,36.0
1,1.0,118.7977513,32.0150942,5.0,0.25,20.0
2,1.0,118.7820155,32.01413968,3.0,0.15,30.0
3,1.0,118.7921929,32.03254211,-55.0,14.3660969,68.0
4,1.0,118.7727608,32.01965071,-5.0,1.04374803,35.0
5,1.0,118.79037790000001,32.025813899999996,-17.0,4.15981808,61.0
6,1.0,118.8013916,32.0293957,-20.0,2.87760465,27.0
7,1.0,118.78837649999998,32.00688624,11.0,0.55,45.0
8,1.0,118.78385349999999,32.02071302,21.0,1.05,42.0
9,1.0,118.79105220000001,32.01559641,-6.0,0.86672404,50.0
10,1.0,118.77205090000001,32.02560119,-11.0,2.29233868,43.0
11,1.0,118.77544270000001,32.01503531,-16.0,2.63450382,18.0
12,1.0,118.7966426,32.02457212,1.0,0.05,44.0
13,1.0,118.77605420000002,32.00836194,4.0,0.2,23.0
14,1.0,118.7868121,32.03145342,4.0,0.2,34.0
15,1.0,118.7736824,32.02838868,-2.0,0.37108629,21.0
16,1.0,118.7830882,32.02555382,-25.0,4.21826463,59.0
17,1.0,118.77898259999999,32.02412787,-29.0,3.28045334,52.0
18,1.0,118.770059,32.01579543,-8.0,0.91037365,9.0
19,1.0,118.7815685,32.03254583,-6.0,1.00476061,36.0
20,1.0,118.78864320000001,32.01630352,-13.0,2.57280059,46.0
21,1.0,118.7968896,32.03369902,-11.0,3.28766614,51.0
22,1.0,118.77753909999998,32.01861733,-21.0,4.71679053,45.0
23,1.0,118.79829,32.0182127,2.0,0.1,14.0
24,1.0,118.79315849999999,32.00937458,9.0,0.45,26.0
25,1.0,118.7870134,32.02283906,3.0,0.15,79.0
26,1.0,118.7943379,32.02819869,-25.0,7.66510357,42.0
27,1.0,118.7934642,32.02357891,-21.0,3.05554592,21.0
28,1.0,118.7857504,32.01278466,5.0,0.25,32.0
29,1.0,118.7749168,32.03197937,25.0,1.25,36.0
30,1.0,118.7944803,32.01439963,-41.0,6.53832683,73.0
31,1.0,118.7965372,32.02722535,15.0,0.75,43.0
32,1.0,118.7702972,32.01882891,-28.0,5.25230176,40.0
33,1.0,118.78093329999999,32.01012381,4.0,0.2,32.0
34,1.0,118.78593529999999,32.02719905,44.0,2.2,87.0
35,1.0,118.79505220000001,32.02150188,-3.0,0.4828958,24.0
